ID,Name,Nexus_File,rooted,type,method,scaling,Source
summary,TREE1,summary.trees,true,summary,bayesian,years,Honkola2013
posterior-1,STATE_7025000,posterior.trees,true,sample,bayesian,years,Honkola2013
posterior-2,STATE_366000,posterior.trees,true,sample,bayesian,years,Honkola2013
posterior-3,STATE_5092000,posterior.trees,true,sample,bayesian,years,Honkola2013
posterior-4,STATE_6236000,posterior.trees,true,sample,bayesian,years,Honkola2013
posterior-5,STATE_3372000,posterior.trees,true,sample,bayesian,years,Honkola2013
posterior-6,STATE_4627000,posterior.trees,true,sample,bayesian,years,Honkola2013
posterior-7,STATE_9473000,posterior.trees,true,sample,bayesian,years,Honkola2013
posterior-8,STATE_7347000,posterior.trees,true,sample,bayesian,years,Honkola2013
posterior-9,STATE_2849000,posterior.trees,true,sample,bayesian,years,Honkola2013
posterior-10,STATE_6312000,posterior.trees,true,sample,bayesian,years,Honkola2013
posterior-11,STATE_2235000,posterior.trees,true,sample,bayesian,years,Honkola2013
posterior-12,STATE_7293000,posterior.trees,true,sample,bayesian,years,Honkola2013
posterior-13,STATE_4477000,posterior.trees,true,sample,bayesian,years,Honkola2013
posterior-14,STATE_9409000,posterior.trees,true,sample,bayesian,years,Honkola2013
posterior-15,STATE_3056000,posterior.trees,true,sample,bayesian,years,Honkola2013
posterior-16,STATE_9263000,posterior.trees,true,sample,bayesian,years,Honkola2013
posterior-17,STATE_3260000,posterior.trees,true,sample,bayesian,years,Honkola2013
posterior-18,STATE_6014000,posterior.trees,true,sample,bayesian,years,Honkola2013
posterior-19,STATE_1695000,posterior.trees,true,sample,bayesian,years,Honkola2013
posterior-20,STATE_8900000,posterior.trees,true,sample,bayesian,years,Honkola2013
posterior-21,STATE_6952000,posterior.trees,true,sample,bayesian,years,Honkola2013
posterior-22,STATE_9785000,posterior.trees,true,sample,bayesian,years,Honkola2013
posterior-23,STATE_8456000,posterior.trees,true,sample,bayesian,years,Honkola2013
posterior-24,STATE_2929000,posterior.trees,true,sample,bayesian,years,Honkola2013
